timestamp,latitude,longitude,speed_kmh
2022-03-28 19:17:14,27.71391,85.3153983,12
2022-03-28 19:17:34,27.71457,85.3155416,12
2022-03-28 19:17:47,27.7151316,85.3156366,22
2022-03-28 19:17:53,27.7155733,85.3157183,32
2022-03-28 19:18:01,27.7161933,85.3158,23
2022-03-28 19:18:06,27.7164033,85.3158333,11
2022-03-28 19:18:19,27.716855,85.3159383,23
2022-03-28 19:18:25,27.7171916,85.3160766,19
2022-03-28 19:18:36,27.7176266,85.3164983,29
2022-03-28 19:18:42,27.7179233,85.3167933,18
2022-03-28 19:18:48,27.7180866,85.31697,11
2022-03-28 19:18:52,27.7181766,85.317,7
2022-03-28 19:19:12,27.7181899,85.3170333,0
2022-03-28 19:19:29,27.7182533,85.3171133,11
2022-03-28 19:19:49,27.71882,85.3176716,14
2022-03-28 19:20:01,27.7192566,85.3180583,24
2022-03-28 19:20:16,27.7199266,85.3187933,23
2022-03-28 19:20:32,27.720685,85.3194366,25
2022-03-28 19:20:47,27.7213833,85.3201566,21
2022-03-28 19:21:01,27.7221833,85.320695,26
2022-03-28 19:21:08,27.7225116,85.32094,16
2022-03-28 19:21:11,27.7226166,85.3209766,11
2022-03-28 19:21:15,27.7227366,85.3210183,9
2022-03-28 19:21:20,27.722875,85.321145,19
2022-03-28 19:21:25,27.7230383,85.3212466,5
2022-03-28 19:21:32,27.7231583,85.32135,15
2022-03-28 19:21:38,27.7234666,85.3215266,26
2022-03-28 19:21:54,27.7242516,85.3221216,25
2022-03-28 19:22:06,27.72507,85.32259,29
2022-03-28 19:22:19,27.7259216,85.32298,19
2022-03-28 19:22:34,27.7267616,85.3233716,25
2022-03-28 19:22:47,27.7276533,85.3237566,29
2022-03-28 19:22:54,27.7280533,85.3239633,19
2022-03-28 19:22:59,27.7281916,85.32416,21
2022-03-28 19:23:01,27.7282066,85.3243133,22
2022-03-28 19:23:09,27.7283149,85.3248483,23
2022-03-28 19:23:13,27.7285316,85.3250149,26
2022-03-28 19:23:15,27.7286983,85.32499,28
2022-03-28 19:23:29,27.7296266,85.3248183,20
2022-03-28 19:23:33,27.7297966,85.3248616,19
2022-03-28 19:23:41,27.730135,85.3252516,26
2022-03-28 19:23:47,27.7303616,85.32556,13
2022-03-28 19:23:50,27.7303766,85.3256083,0
2022-03-28 19:23:59,27.730435,85.3256916,10
2022-03-28 19:24:06,27.730645,85.3259466,21
2022-03-28 19:24:17,27.731115,85.3265716,10
2022-03-28 19:24:19,27.7311366,85.3266133,8
2022-03-28 19:24:32,27.7313483,85.32689,21
2022-03-28 19:24:36,27.73158,85.3270916,31
2022-03-28 19:24:44,27.7321283,85.327735,42
2022-03-28 19:24:52,27.7327583,85.3284933,40
2022-03-28 19:24:58,27.7331133,85.3289333,29
2022-03-28 19:25:11,27.733735,85.3297066,20
